county,report_date,reference_date,confirm_death,confirm
Guilford,2021-10-05,2021-09-16,6,301
Forsyth,2021-10-06,2021-10-03,0,56
Wake,2021-10-06,2021-10-03,0,77
Forsyth,2021-10-06,2021-10-04,0,65
Wake,2021-10-06,2021-10-02,0,248
Guilford,2021-10-06,2021-10-02,0,98
Wake,2021-10-06,2021-09-30,0,331
Wake,2021-10-06,2021-09-26,0,92
Wake,2021-10-06,2021-10-01,0,301
Wake,2021-10-06,2021-09-24,0,323
Guilford,2021-10-06,2021-09-26,0,136
Forsyth,2021-10-06,2021-09-23,0,159
Guilford,2021-10-06,2021-10-01,0,179
Forsyth,2021-10-06,2021-09-27,0,218
Wake,2021-10-06,2021-10-04,0,63
Guilford,2021-10-06,2021-09-22,0,271
Guilford,2021-10-06,2021-09-29,0,251
Guilford,2021-10-06,2021-09-19,1,131
